video_id,trending_date,title,category_id,views,likes,dislikes,comment_count
zWAjEtFkMgY,17.14.11,Weekly Rasi Phalalu 2017 November 12th - November 18th  2017,22,37384,164,32,6
fRY7UWGFvdc,17.14.11,ഇടുക്കി ആശുപത്രിയിൽ രോഗികളെ ക്യൂവിൽ നിർത്തിയ ജീവനക്കാരിയുടെ ഇപ്പോഴത്തെ അവസ്ഥ കണ്ടോ ഞെട്ടി പോകും,22,197122,0,0,130
Dxg-ELOg-L4,17.14.11,Nayanthara Visits Kasi Theatre For Aramm Promotion,24,94383,168,18,23
D1z2sKcSsfY,17.14.11,ARE YOU FRIENDZONED? ft. SheTroubleMaker | RishhSome,23,353789,25657,1949,1226
m5HsZ4lYtv4,17.14.11,കർണാടകയിലെ ക്യാൻസർ ചികിത്സയെ കുറിച്ചുള്ള പുതിയ വീഡിയോ | Cancer Treatment Center | malayalam News,22,121361,1364,75,78
a8hFBXnqo0k,17.14.11,Watch: Green corridor for ambulance carrying critically-ill cancer patient,25,50220,15,0,3
XVPpvn9vQDU,17.14.11,Ammuvinte Amma l The person who seeking for Ammu l Mazhavil Manorama,24,96306,52,75,41
#NAME?,17.14.11,స‌మంత కంట‌త‌డి | Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception,24,31052,36,11,2
efpUCPITNmw,17.14.11,Russia Vs Argentina 0-1 - All Goals & Highlights - Resumen y Goles 11/11/2017 HD,17,1641745,7643,702,1082
NX23eK3ud10,17.14.11,"ਜਾਣੋ, ਕੌਣ ਸੀ ਹਿੰਦੂ ਆਗੂਆਂ ਦੇ ਕਤਲ ਕਰਨ ਵਾਲਾ ਸ਼ਾਰਪ ਸ਼ੂਟਰ ਸ਼ੇਰਾ|DAILY POST PUNJABI|",25,42032,243,32,104
JFe_OFPYKQY,17.14.11,स्पेशल रिपोर्ट : सांगली : अनिकेत कोथळेच्या मृतदेहासोबत 14 तासाच्या प्रवासात काय घडलं?,25,71272,309,38,66
oGoABVPTDQA,17.14.11,வில்லன்களுக்கு என் படத்தில் காவி நிறம் தான்- சுசீந்திரன் | Naughty Nights | Black Sheep,24,90034,1948,183,145
qEf_2YN1XaA,17.14.11,Shehar Ke Bachche (Children's Day Special) - Sundeep Sharma | UnErase Poetry,24,25844,1440,22,71
xzEbOteUiRY,17.14.11,"ਅੰਮ੍ਰਿਤਸਰ” ਵਿੱਚ ਦੀਵਾਨ ਲਗਾਉਣਾ ਸਾਡਾ ਮਕਸਦ ਨਹੀਂ, ਸਾਡਾ ਮਕਸਦ ਕੁਝ ਹੋਰ ਹੈ | 12.11.2017 | Dhadrianwale",29,51575,0,0,0
uLLYbYpV1z4,17.14.11,CHILDHOOD MEMORIES OF EVERY INDIAN 1990s KIDS,23,71786,9067,453,5427
jvcBAsE72Lc,17.14.11,London Babulu Movie Promotions 01 | Lalitha Jewellery Ad | Swathi || OneVision,24,7125,18,0,0
ul6tkHoVFg0,17.14.11,73 QUESTIONS W/ PRIYANKA CHOPRA | Vogue | Reaction w/ Hope!,24,158126,3477,136,435
HilwZ2E5PX8,17.14.11,Samantha Naga Chaitanya Wedding Reception Full Video,25,31421,57,12,4
V4olAUYK6aE,17.14.11,Current Affairs Live 2.0 | 13 Nov 2017 | करंट अफेयर्स लाइव 2.0 | All Competitive Exams,27,14018,764,9,102
Yx6FaFVw9NY,17.14.11,Daily Promise and Prayer by Bro. P. Satish Kumar from Calvary Temple - 13.11.2017,22,15107,1090,6,133
reoTUboruJ0,17.14.11,Navdeep on Drugs and Bigg Boss - TV9 Exclusive,24,20463,111,20,23
xNfzGWB34b4,17.14.11,ഓട്ടോ ഡ്രൈവർമാർ ഒരു വശം ചെരിഞ്ഞിരിക്കുന്നതിന്റെ കാരണം കണ്ടു പിടിച്ചു |new|asianet|news|malayalam|tod,24,23082,31,12,7
t_vpgs7aDco,17.14.11,Real Fight Between Hero Rajendra Prasad and Victory Venkatesh,24,19567,171,28,204
rx5dx6HxBgg,17.14.11,ಬಿಗ್ ಬಾಸ್ ಅಶಿತಾ ಮೊದಲ ನಿಶ್ಚಿತಾರ್ಥ ಮುರಿದುಬಿದ್ದ ಕಥೆ| Bigg Boss contestant Ashita shared her story,24,34206,24,44,21
82Xuew50Dh4,17.14.11,'Shaadi Mein Zaroor Aana' Star Cast Rajkummar & Kriti On Yaar Mera Superstar | Full Episode,24,55908,452,18,30
t7I8EBOTx8Y,17.14.11,Kannil Kannonnu song from Chemparathippoo | Vineeth Sreenivasan | Haritha Balakrishnan,10,37786,1102,28,54
-90fWzjVM7w,17.14.11,"Lakshmi - Short Film Review | Sarjun KM | Sundaramurthy KS | Lakshmi Priyaa Chandramouli, Nandan",28,64656,392,47,83
v3nuxG2Q6Ew,17.14.11,Sanjay Leela Bhansali Speaks | Padmavati | Ranveer Singh | Deepika Padukone | Shahid Kapoor,24,662980,18875,2323,3995
WYV4afdFEvs,17.14.11,సోమవారం ఈ పాటలు వింటే 1000 సార్లు కాశీ వెళ్లినంత పుణ్యం దక్కుతుంది || Lord Shiva Telugu Bakthi Songs,26,98212,670,87,108
ziOwvxFoLw0,17.14.11,CLOSE ENCOUNTER WITH  MAJOR RAVI _Reporter Live,25,92089,895,137,533
JBFmDaNsofY,17.14.11,ಮಾಸ್ಟರ್ ಮಂಜುನಾಥ್ ಈಗ ಯಾವ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ ಗೊತ್ತಾ | Master Manjunath,24,63293,172,20,1
ifqJNMRupEU,17.14.11,பாகுபலி பிரபாசை போன்று யானையிடம் செய்ய முயன்றவருக்கு என்ன ஆனது பாருங்கள்,22,7573,1,1,2
NgsoF5QeG4c,17.14.11,"13, 14  heavy rains in chennai, Nov 13, 14 chennai weather | tamil news | tamil news today | redpix",25,22933,83,28,17
CgbZnZrE9OM,17.14.11,Baat Ka Batangad,23,70810,3768,191,257
cA3fSbbeLqI,17.14.11,जनरल जीडी बख्शी ने बोला Pok हमारा है ऋषि कपूर और फारुख अब्दुल्ला कोई जवाब,25,69459,351,70,190
DWC2o_h5wP0,17.14.11,Gujrat चुनाव का internal पोल देखकर हिल जाएगी भाजपा,22,82449,1305,83,73
SF-ObMCb-Ac,17.14.11,பிரியமானவள் சீரியலில் இருந்து ஈஸ்வரி ஏன் விலகினார் தெரியுமா ..?,24,58815,131,37,3
F9Fd3AUaOC4,17.14.11,Funny Salesmen Everywhere || Hyderabadi Comedy || Warangal Diaries,23,68808,4664,99,760
s6pM3FlBcAw,17.14.11,8 Bollywood Actresses who become early age moms before Turning 30!,27,103975,162,54,12
t-3rtU-91OU,17.14.11,Reason behind IT Raid at Sasikala & relatives' place ? | JV Breaks,25,64197,904,99,130
-7dTzc8kTOY,17.14.11,FEEELINGS ABOUT THE IPHONE X,22,2820328,96617,6336,12063
g7SdBlW1Zj8,17.14.11,జగన్ లేకపోతే అసంబ్లీలో అందరూ నిద్రపోతున్నారు బీజేపీ mla Vishnu Kumar Raju | Cinema Politics,25,47328,1053,30,75
HroHi1lUg6M,17.14.11,ಬಿಗ್ ಬಾಸ್ 5  ಮನೆಯಲ್ಲಿ ಇರುವ ಕೋಟ್ಯಧಿಪತಿಗಳ ಅಸ್ತಿ ಎಷ್ಟು ಗೊತ್ತ? ಶಾಕಿಂಗ್!,22,40355,76,43,14
13zgNDLHfyk,17.14.11,கோவணத்தோட அலையனுமா? EPS & OPS Behind the IT Raids | TTV Dinakaran Kidding BJP | Sasikala Family,25,85832,423,94,120
GuO4gJs9BFs,17.14.11,Mor Comedy # Mangu Ke Drame # Episode 10 # लुंगी डांस  # Vijay Varma & Shikha Raghav # Mor Haryanvi,24,279282,2560,292,263
NDuOXWe4KW8,17.14.11,உலக அழிவை முன்பே தெரிந்து கொள்ளும் 5 மர்ம அறிகுறிகள் | 5 major signs before the world End |,2,62151,843,67,48
#NAME?,17.14.11,कुंभ राशि वालों के लिए 12 नवंबर - 18 नवंबर का राशिफल,25,30659,180,36,3
kwGrQZUXBus,17.14.11,Ippadai Vellum Movie Review - Dumbest Review | Udhayanidhi Stalin | Smile Settai,23,81117,1237,90,80
JtSoHMVvKG8,17.14.11,ನಟಿಯ ಕಥೆ | ಕನ್ನಡ ಶೃಂಗಾರ ಕಥೆ | kannada health tip's | Kannada lifestyle,24,72644,44,44,0
